lat,lon,age (Ma),ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT,weight
22.0,102.0, ,15.239,1.68, , ,58.3,2
6.13333,124.70833,14.18, , , , , ,1
-26.26667,-69.61667, ,169,0.56, , , ,4
40.1769,46.8266,135, , , , , ,1
41.6265,22.3445, , , , , , ,1
33.8986,110.283, , , , , , ,1
42.7314,93.3671,290, , , , , ,1
-2.847,101.934,12.81, , , , , ,1
-1.089,100.704,3.96, , , , , ,1
29.4167,57.1,12.96,133,0.39,0.01,0.04, ,4
28.75,57.8583,19.62, , , , , ,1
29.071,62.594,10.9, , , , , ,1
30.2897,55.4008,14.18, , , , , ,1
61.69217,143.92023, , , , , , ,1
29.8838,55.909,15.66,282.6,0.38,0.004, , ,5
31.562,53.828,15.95,29,0.9,0.004, ,1,3
49.3224,105.1605,290, , , , , ,1
35.8667,50.4667,37.2, , , , , ,1
29.556,64.604,31.6,350,0.3,0.001, , ,5
29.2279,61.8448,19.62, , , , , ,1
39.3914,46.0148,40.22,9.6,0.95,0.043, , ,2
48.9333,97.7333,290, , , , , ,1
49.2626,103.931,290, , , , , ,1
48.1167,114.2653, , , , , , ,1
-3.771,136.551, , , , , , ,1
48.7828,102.9419,290, , , , , ,1
48.9333,97.9333,290, , , , , ,1
49.4399,104.9423,290, , , , , ,1
34.3793,100.13, , , , , , ,1
